A,B,C
9,21,32
9,21,33
7,21,32
8,21,33
6,18,32
7,19,30
7,20,31
6,18,30
6,17,28
6,18,30
7,20,32
8,20,32
7,18,31
8,20,32
8,19,32
9,21,34
7,19,32
6,19,31
7,20,32
7,20,33
7,19,32
8,20,32
7,18,32
8,19,30
7,18,32
10,21,33
7,19,31
7,19,32
7,19,31
6,19,32
8,20,32
6,20,32
8,20,32
6,19,31
7,20,32
7,19,32
8,21,32
7,18,31
7,19,32
8,19,31
8,20,32
8,19,32
8,20,32
6,17,29
8,20,32
7,20,31
8,19,32
6,18,31
7,19,30
8,20,32
7,18,32
7,19,30
8,20,32
10,21,33
8,20,32
7,19,30
