A,B
7,19
8,20
19,31
19,32
18,31
19,32
10,25
9,31
10,30
7,31
10,22
7,19
8,20
9,32
7,19
19,32
19,32
7,25
19,31
8,31
19,32
18,31
6,19
9,31
7,20
19,32
20,32
20,32
20,32
11,23
16,28
20,31
8,31
10,32
18,30
19,31
19,32
11,26
8,22
16,29
19,32
18,31
13,31
19,32
8,29
9,29
19,31
8,21
8,22
20,32
7,31
18,31
8,28
14,32
7,30
19,32
7,20
19,32
19,32
19,32
15,27
11,28
8,30
19,31
19,31
7,19
17,30
19,31
10,32
19,31
7,23
11,28
19,31
20,32
12,30
19,31
7,32
20,32
13,31
20,32
6,19
19,31
19,32
8,30
8,28
17,29
14,27
19,32
20,33
20,31
18,32
7,18
19,31
19,31
7,19
7,19
8,32
7,31
20,32
20,32
7,20
10,23
7,25
20,32
11,24
8,21
19,32
8,30
17,30
18,31
15,28
21,34
8,30
7,19
19,32
7,19
20,32
7,20
19,31
19,31
19,32
20,32
8,32
7,20
19,32
15,28
14,27
9,23
20,31
7,18
18,31
7,31
20,32
13,26
9,22
19,31
7,19
18,31
6,18
19,32
18,31
19,32
20,32
9,22
7,18
7,19
8,31
8,24
20,32
8,31
18,31
7,29
8,26
20,32
9,22
20,32
20,32
20,32
20,32
20,32
7,20
7,20
7,19
7,21
7,19
20,32
18,31
20,32
20,31
7,20
18,31
20,32
8,24
19,31
19,32
18,31
8,20
20,32
13,26
8,21
8,30
8,24
18,31
18,32
19,32
7,30
18,32
10,23
20,32
7,23
18,31
19,31
19,32
9,25
13,26
7,20
19,32
10,24
20,32
6,19
14,28
16,32
19,32
8,26
19,32
9,22
18,31
7,31
20,31
9,22
15,28
8,32
7,21
20,32
20,32
10,31
20,31
8,32
17,30
16,32
7,21
19,32
19,32
18,31
20,32
13,26
19,32
15,29
6,19
9,27
19,32
8,29
7,30
20,31
19,32
8,20
7,20
18,31
19,32
19,31
18,32
20,32
8,20
7,18
18,31
11,24
19,32
20,32
19,31
8,32
19,32
7,19
16,29
19,31
7,25
20,32
7,20
9,31
19,31
20,32
18,31
18,31
21,32
20,32
21,33
13,31
20,32
18,31
20,31
11,24
20,32
19,32
8,31
19,31
21,32
19,32
19,32
18,31
10,23
13,25
19,31
8,32
10,23
18,32
10,23
19,31
19,31
20,32
11,24
15,32
21,32
20,32
20,32
7,31
6,19
17,30
7,19
19,32
19,32
20,32
8,31
20,32
20,32
21,32
12,27
19,31
17,32
20,33
20,32
18,31
7,19
8,31
19,31
20,32
15,31
8,20
20,32
7,20
20,32
8,22
8,32
20,32
8,31
19,31
7,31
8,21
8,21
8,19
19,31
20,31
20,32
8,24
9,21
20,31
17,32
13,26
8,20
11,25
7,20
19,32
8,31
15,32
7,19
19,31
20,32
8,26
18,30
19,31
19,32
7,20
7,19
8,23
9,23
17,31
8,31
7,20
17,29
21,33
19,32
14,27
8,20
20,31
20,31
16,31
9,32
19,32
19,31
7,19
14,26
20,32
9,21
19,32
20,32
7,19
20,32
10,23
20,32
8,31
7,19
8,31
17,30
18,31
19,32
8,31
16,31
20,33
17,31
12,26
21,32
8,20
16,30
20,32
7,24
16,32
15,31
13,25
20,33
13,31
21,32
7,29
7,22
16,29
8,31
14,31
20,32
20,32
20,32
10,24
20,32
10,23
11,24
8,20
20,32
8,32
20,32
8,19
18,31
9,22
17,31
19,32
8,20
10,23
19,32
8,20
7,20
20,32
19,31
20,32
13,32
7,31
8,20
18,32
7,32
8,21
7,20
7,20
20,32
19,31
19,31
19,32
19,32
7,21
9,32
20,32
9,22
7,31
20,32
9,29
7,30
7,32
8,32
8,31
14,31
19,31
19,31
7,19
19,32
8,21
19,32
19,31
14,31
19,32
19,32
20,31
19,31
11,28
8,22
19,32
6,19
20,32
10,22
19,32
18,31
8,29
20,32
20,32
20,32
20,32
17,30
18,31
11,24
19,32
20,32
7,20
7,20
19,32
11,24
8,26
20,32
14,30
18,32
19,32
7,20
21,33
6,19
18,31
20,32
21,33
19,31
20,31
14,27
12,25
19,31
15,28
20,31
17,30
18,31
14,27
20,32
8,20
20,33
8,21
7,20
7,32
11,31
20,32
19,32
7,20
20,33
8,21
7,32
20,32
20,32
7,31
20,32
20,32
8,20
18,31
19,31
8,20
8,29
7,19
19,32
20,32
19,32
20,32
8,23
7,24
19,32
19,31
15,32
18,31
18,32
10,23
8,32
21,32
21,32
19,32
8,31
14,27
19,32
10,31
9,21
19,32
19,31
17,30
18,32
6,18
19,32
18,32
15,29
20,32
19,31
8,27
18,31
12,28
20,31
9,28
19,32
20,31
10,23
20,32
20,32
20,32
20,32
19,31
9,26
20,31
21,33
19,31
8,20
21,32
20,32
8,19
8,21
17,31
8,20
14,27
13,26
19,32
9,30
7,21
19,32
13,26
7,20
18,30
13,27
10,22
11,31
14,27
19,31
7,19
10,23
6,18
19,32
19,31
19,31
8,26
16,29
20,32
8,25
7,20
20,33
19,31
8,30
20,32
19,32
20,32
8,31
15,31
19,32
7,18
19,32
7,32
8,19
19,32
8,32
20,32
18,31
12,25
6,18
7,19
8,21
21,33
7,29
8,22
20,32
20,31
17,31
8,31
8,27
15,31
19,32
18,31
8,28
14,26
8,31
8,32
19,31
12,24
20,31
7,19
8,32
19,32
13,32
8,26
7,20
19,31
17,30
20,32
8,31
19,32
20,32
7,18
8,31
8,28
18,31
14,28
16,29
8,19
20,32
8,26
16,31
19,32
12,28
8,31
20,32
15,28
17,32
19,32
18,31
7,20
7,26
19,31
14,27
8,21
18,31
14,32
20,32
20,32
20,31
19,32
20,32
20,32
13,26
16,29
19,31
7,19
19,32
14,27
18,31
13,26
19,32
16,29
11,25
17,30
9,23
9,23
17,31
10,32
7,19
12,26
8,21
20,32
7,20
18,32
7,31
10,29
19,32
8,31
9,21
19,32
20,31
10,23
18,31
19,31
20,32
17,30
18,31
19,32
7,20
13,32
15,28
8,31
8,31
7,19
11,23
7,31
8,31
10,23
20,32
9,22
7,20
7,19
10,23
9,22
8,32
19,31
19,32
19,32
7,19
19,31
10,24
9,22
7,20
20,33
8,20
20,32
15,28
19,32
7,31
8,31
8,20
7,19
20,32
14,32
7,19
7,21
20,32
7,24
20,31
13,31
7,20
20,31
19,32
10,27
21,32
8,32
12,25
7,29
8,25
17,29
19,32
18,32
20,32
20,32
11,24
8,26
14,27
20,32
8,21
20,31
7,20
8,32
8,26
19,32
7,20
20,32
18,31
8,20
20,33
20,31
10,24
17,30
20,32
20,32
10,23
14,31
20,32
12,25
13,28
7,31
17,30
9,31
19,32
8,26
17,32
9,31
20,32
14,31
19,32
7,19
19,32
7,19
8,20
8,32
7,26
20,32
8,30
19,32
19,33
11,23
7,20
19,31
20,31
7,26
20,31
19,32
8,32
19,32
20,32
8,19
20,32
18,31
14,26
7,31
20,32
19,32
7,19
8,27
12,24
9,31
8,28
19,31
20,32
8,20
20,32
19,31
20,32
19,31
20,32
7,18
17,31
19,32
19,32
11,28
19,32
19,32
18,31
19,32
19,32
8,31
20,32
10,24
19,32
19,32
8,20
8,22
19,32
20,32
16,29
20,33
13,26
8,23
20,31
20,32
17,31
20,32
20,32
13,27
13,25
18,31
8,29
8,20
19,32
8,20
19,31
20,32
7,21
20,32
18,32
12,32
20,32
8,22
17,30
20,32
19,31
19,31
20,32
16,30
7,19
19,32
7,19
7,29
18,31
20,32
7,29
18,31
8,27
6,20
8,31
19,32
19,31
20,32
19,32
13,31
20,32
12,31
19,32
11,24
20,32
18,30
14,27
19,32
8,29
11,24
20,32
21,32
7,27
19,31
17,32
15,29
20,32
19,32
7,19
7,19
16,31
20,32
10,23
17,29
7,20
20,31
18,30
20,33
16,29
7,20
19,31
21,33
15,29
20,32
9,32
8,22
19,32
19,32
20,32
19,31
19,32
12,25
9,22
16,28
8,20
12,25
21,33
11,32
19,32
12,25
11,23
19,31
21,32
11,28
19,31
9,29
20,31
19,32
20,33
19,31
16,31
20,32
7,20
6,19
10,27
19,32
19,32
19,32
15,30
16,31
19,31
16,29
7,32
8,24
10,32
20,32
20,32
17,31
20,32
20,32
7,21
10,27
19,32
14,26
19,31
20,31
14,31
10,32
19,31
21,33
14,27
7,19
10,22
7,20
19,31
18,32
14,27
19,32
15,27
8,28
20,32
8,32
18,31
7,30
18,31
7,21
19,32
8,19
14,31
19,32
8,31
9,22
7,18
8,32
7,31
7,21
19,31
21,32
17,32
8,21
15,31
11,31
11,31
8,29
19,31
17,32
20,32
21,32
7,21
18,32
9,32
8,21
17,30
11,24
20,32
15,31
17,29
7,20
21,33
9,31
20,32
20,32
20,32
19,31
20,32
21,34
7,19
7,20
21,33
12,24
6,19
19,31
7,19
18,30
20,32
21,33
8,28
19,32
8,32
20,32
21,33
18,31
19,32
9,32
11,29
18,32
19,32
18,31
10,24
8,20
8,21
8,31
19,32
19,31
18,32
20,32
20,32
18,31
20,31
15,32
10,23
19,32
15,28
20,31
20,32
17,31
21,33
6,19
10,31
16,29
8,31
20,32
20,32
19,32
13,32
7,19
9,22
8,27
14,29
7,19
19,32
20,32
8,25
17,30
7,19
14,31
20,32
10,30
20,31
18,31
20,32
20,32
21,33
20,31
20,32
18,31
19,31
20,32
17,31
19,31
19,32
9,21
15,28
20,32
17,31
17,30
12,31
14,28
7,20
17,32
21,32
19,32
19,32
7,20
8,25
19,31
7,20
7,20
10,26
18,31
20,31
19,31
19,31
20,32
19,32
7,19
7,32
11,24
19,31
7,20
8,22
20,32
15,28
19,31
10,31
8,20
19,31
12,30
10,22
18,31
12,31
20,33
7,21
15,31
10,32
14,31
20,32
13,31
7,20
19,32
20,32
20,32
9,23
20,31
20,32
8,30
12,26
8,22
13,27
20,32
12,31
18,31
13,27
17,31
19,32
19,32
7,32
7,20
20,31
21,32
19,31
20,32
19,32
14,32
19,31
14,29
19,32
14,27
18,31
19,32
11,24
7,31
20,33
8,32
19,32
21,32
19,32
8,31
18,31
32,18
19,31
18,31
8,29
14,27
19,32
21,33
18,31
20,32
14,27
8,26
19,32
18,31
20,32
7,18
16,29
20,31
7,21
13,26
20,32
19,31
8,21
20,31
15,31
15,28
20,32
22,33
19,32
13,27
7,32
19,32
8,20
18,30
19,31
12,28
19,31
9,23
9,30
9,23
14,28
19,33
10,30
8,20
8,20
19,32
17,31
19,31
13,26
8,20
19,31
19,32
9,32
21,32
8,32
20,32
7,20
10,31
19,31
9,32
15,28
19,32
18,31
19,31
8,32
20,33
8,21
19,31
18,31
8,20
20,32
20,32
19,31
8,30
20,32
17,32
17,31
19,32
7,20
19,31
20,31
19,31
12,31
10,23
8,21
20,32
7,20
15,32
18,31
12,31
18,31
20,32
14,32
7,19
10,32
20,32
7,19
7,20
8,23
19,32
20,32
9,31
16,29
16,29
13,27
11,31
20,31
19,31
19,31
17,31
7,20
21,32
15,32
19,31
7,24
18,31
18,30
19,32
7,19
21,32
13,26
8,22
15,28
18,32
7,19
20,32
20,32
11,24
20,32
17,30
20,32
19,32
12,25
19,31
20,32
12,28
8,25
10,25
15,31
8,31
20,32
19,31
7,20
7,19
19,32
20,32
20,32
18,30
17,30
20,32
19,32
12,25
6,19
20,32
19,32
19,31
7,32
20,32
20,33
20,32
20,33
19,31
18,31
19,31
20,32
20,32
7,19
20,33
14,31
20,32
12,24
18,30
17,31
8,31
18,31
20,32
12,25
7,20
9,31
8,26
21,33
18,30
8,27
18,31
9,32
12,32
20,32
20,32
7,28
20,32
13,26
9,26
8,20
7,31
21,32
8,27
21,32
17,31
19,31
19,32
19,32
11,30
19,32
8,27
19,32
7,31
20,33
7,19
20,32
12,25
21,32
18,31
15,28
20,31
20,31
19,32
19,32
20,33
7,19
7,19
7,19
13,26
20,33
7,31
7,19
20,31
10,23
18,32
19,33
19,32
7,29
7,31
19,31
11,24
9,31
7,26
7,20
18,31
20,32
13,26
20,31
20,32
13,26
7,19
20,32
19,32
17,29
13,28
8,24
20,32
20,32
18,31
18,31
8,22
21,32
20,32
32,19
20,32
8,32
20,33
